step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,base_dec_det,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,own_dec_det,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std
0,0,D,0.03673495520301895,-0.04759220366140671,1.0876586310010836,-0.07680138254270474,-0.010857248458397306,1.1243935862040644,-1.0801328546793485,0.0,0.03673495520301895,-0.04759220366140671,1.0876586310010836,-0.07680138254270474,-0.010857248458397306,1.1243935862040644,-1.0801328546793485,0.0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,O,0.0677905776147032,-0.02675576449994921,0.07544104214581893,0.8835241447394111,0.04103481311474777,0.1432316197604564,0.9026294447082961,0.0,0.0677905776147032,-0.02675576449994921,0.07544104214581893,0.8835241447394111,0.04103481311474777,0.1432316197604564,0.9026294447082961,0.0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,D,-0.011703340925930728,-0.01578488684979229,0.998184803398541,0.02930342437720629,-0.027488227775709806,0.9864814624725877,-0.964799833097683,0.0,-0.011703340925930728,-0.01578488684979229,0.998184803398541,0.02930342437720629,-0.027488227775709806,0.9864814624725877,-0.964799833097683,0.0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,O,-0.03825372614762612,0.08065248150628485,0.029242821766069182,0.9283584228752948,0.04239875535864135,-0.00901090438155916,0.7802093934552818,0.0,-0.03825372614762612,0.08065248150628485,0.029242821766069182,0.9283584228752948,0.04239875535864135,-0.00901090438155916,0.7802093934552818,0.0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,D,-0.011746789498052357,0.0006667164302012474,1.0026546785379713,0.008425394529856245,-0.011080073067840701,0.990907889039939,-1.0066427899363937,0.0,-0.011746789498052357,0.0006667164302012474,1.0026546785379713,0.008425394529856245,-0.011080073067840701,0.990907889039939,-1.0066427899363937,0.0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,O,-0.006851650832236489,0.06348011023421107,0.02195003169891474,0.9214215088991305,0.0566284594019395,0.015098380866675143,0.8291397161337324,0.0,-0.006851650832236489,0.06348011023421107,0.02195003169891474,0.9214215088991305,0.0566284594019395,0.015098380866675143,0.8291397161337324,0.0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,D,0.03673495520301895,-0.04759220366140671,1.0876586310010836,-0.07680138254270474,-0.010857248458397306,1.1243935862040644,-1.0801328546793485,0.0,0.03673495520301895,-0.04759220366140671,1.0876586310010836,-0.07680138254270474,-0.010857248458397306,1.1243935862040644,-1.0801328546793485,0.0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543
1,0,O,0.0677905776147032,-0.02675576449994921,0.07544104214581893,0.8835241447394111,0.04103481311474777,0.1432316197604564,0.9026294447082961,0.0,0.0677905776147032,-0.02675576449994921,0.07544104214581893,0.8835241447394111,0.04103481311474777,0.1432316197604564,0.9026294447082961,0.0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543
1,1,D,-0.011703340925930728,-0.01578488684979229,0.998184803398541,0.02930342437720629,-0.027488227775709806,0.9864814624725877,-0.964799833097683,0.0,-0.011703340925930728,-0.01578488684979229,0.998184803398541,0.02930342437720629,-0.027488227775709806,0.9864814624725877,-0.964799833097683,0.0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543
1,1,O,-0.03825372614762612,0.08065248150628485,0.029242821766069182,0.9283584228752948,0.04239875535864135,-0.00901090438155916,0.7802093934552818,0.0,-0.03825372614762612,0.08065248150628485,0.029242821766069182,0.9283584228752948,0.04239875535864135,-0.00901090438155916,0.7802093934552818,0.0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543
1,2,D,-0.011746789498052357,0.0006667164302012474,1.0026546785379713,0.008425394529856245,-0.011080073067840701,0.990907889039939,-1.0066427899363937,0.0,-0.011746789498052357,0.0006667164302012474,1.0026546785379713,0.008425394529856245,-0.011080073067840701,0.990907889039939,-1.0066427899363937,0.0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543
1,2,O,-0.006851650832236489,0.06348011023421107,0.02195003169891474,0.9214215088991305,0.0566284594019395,0.015098380866675143,0.8291397161337324,0.0,-0.006851650832236489,0.06348011023421107,0.02195003169891474,0.9214215088991305,0.0566284594019395,0.015098380866675143,0.8291397161337324,0.0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543
3,0,D,0.03673495520301895,-0.04759220366140671,1.0876586310010836,-0.07680138254270474,-0.010857248458397306,1.1243935862040644,-1.0801328546793485,0.0,0.03673495520301895,-0.04759220366140671,1.0876586310010836,-0.07680138254270474,-0.010857248458397306,1.1243935862040644,-1.0801328546793485,0.0,0.0005362495430745184,2.5118895852216383e-09,0.003383345901966095,2.8825741793525594e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543
