step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.36645046173821805,0.000463695240302364,0.0001359495376654274,0.003551444162990188,0.008037587231637229,0.02392067597333404
1,1,0.7704001581583062,0.00011592194372448327,0.0007214485188564658,0.0014650088846181843,0.0025398321196711308,-0.09385139327306241
1,2,1.1588391011696606,5.8984584014292896e-05,2.5323612504598373e-05,0.0004981074937136943,-0.03736457526405353,0.035176012102631556
2,0,0.7333948451944972,0.0002967905040868308,0.00024280822829050739,0.0022021878585420937,-0.05071727366374342,0.10198913308951478
2,1,1.6510311143878758,6.6339646217412e-05,0.00015806711285404668,0.0005084205056565065,-0.041771255862964804,-0.14454810482394267
2,2,2.3433937986480013,7.035203195011494e-05,8.124116093864359e-06,0.00045712665191708187,-0.13933665119898794,0.04500537423751358
3,0,1.1698779088349724,0.00028288090063457273,0.0003092277870994238,0.0020308876140893864,-0.10716677546167733,0.19284564694934345
3,1,2.726028843482396,5.788001554658373e-05,5.909200607886705e-05,0.0003571676661723703,-0.08085439376375847,-0.17846779302527802
3,2,3.7823026277073333,7.192371518043592e-05,8.039536606213691e-06,0.00048385156178909814,-0.2414945180617181,0.048104575920329705
5,0,2.07604489727435,0.0002353004791859275,0.00038452202794910623,0.0022921048123046932,-0.18742449150596877,0.3627632954244382
5,1,4.912795408497772,3.5177219455932754e-05,2.559107404298912e-05,0.00033024147428538657,-0.06781887798263096,-0.20972539950088878
5,2,6.86108357041505,4.435998255729788e-05,1.1705388024948294e-05,0.0004410410952695726,-0.33869356827144015,0.01415161952447298
7,0,2.7472639099551244,0.00022375832348254642,0.0004966676358846179,0.0021664367538440144,-0.24945129560554963,0.5116719404565734
7,1,6.896548614346895,1.9852972718465653e-05,1.2645839580060322e-05,0.0002538802677585667,0.020429128665556226,-0.19195500086594908
7,2,9.690370882533559,3.5655001547314424e-05,1.736046077970969e-05,0.00042475467518921796,-0.3640545038335693,-0.059605652468955245
9,0,3.09889472873183,0.00023059344381364517,0.0005645492498991251,0.0020337710007955977,-0.3010816949927147,0.5968988088693337
9,1,8.434121981408374,1.323117260818947e-05,7.920017550876124e-06,0.00019431127240378425,0.06465559441516718,-0.1523562669687869
9,2,11.678079333247844,3.180299063341459e-05,1.7887969347267094e-05,0.0004160012143532758,-0.354234317283071,-0.09599629365685972
11,0,3.302983287132612,0.00024232438779317586,0.0006100330427073121,0.002051970391974891,-0.33818053729152037,0.6474591514340117
11,1,9.153488772991762,1.1361549418998119e-05,9.109587106493147e-06,0.00020001816171285485,0.06399048610387913,-0.10060882097713707
11,2,12.542377381688501,3.076339861621252e-05,2.0420321383189475e-05,0.000454646740225071,-0.37090221653090494,-0.12468679081556874
14,0,3.484065042436143,0.00027994036996090073,0.0006888051578776438,0.0021587615824821397,-0.3807255395403236,0.6906807046189812
14,1,9.479703736191114,1.0792428793407747e-05,1.2240763578157809e-05,0.00022163037014644076,0.03369677791278544,-0.12990815356439125
14,2,12.845820110839448,4.450220183570057e-05,3.2606531793789844e-05,0.0005291445551433117,-0.489801132237188,-0.2533089406207379
18,0,3.9631355082658715,0.0002621147716287438,0.0008085109557747347,0.0027135793253674394,-0.3981701882970482,0.8418573420545118
18,1,10.127290058383597,1.2307979431708132e-05,1.2018612204739093e-05,0.0002559756689150604,0.1002431392796314,-0.042549743308584374
18,2,13.568044981466151,3.6920875223246625e-05,3.4873218941380416e-05,0.0005289703389077863,-0.3615862807070715,-0.2861163256114216
