seed,step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0.2745817986067987,0.0013332432275912,0.0002104784162287,0.0029601799485184,0.0167156059951913,0.0014171739113782
0,1,1,0.8072042974986238,0.0003537328789391,0.0001316760858088,0.0010148913032942,0.1197176214019302,-0.0383091240502737
0,1,2,1.284819676961076,0.0001072005989635,4.3137748191177454e-05,0.0004167326744798,0.0951422327628768,-0.0612421593990846
0,2,0,0.5086055822516263,0.0004912138277277,0.0002165450835277,0.0012551640429134,0.0042689646781138,0.0165575468098453
0,2,1,1.6035111312251935,0.0001930297667534,6.524985221273031e-05,0.000633088478159,0.1645588806266609,-0.0353468578667307
0,2,2,2.419700754828142,5.528220744431661e-05,2.0586564589558823e-05,0.000375821633235,0.1317015059850012,-0.0446060019190191
0,3,0,0.7907522353032884,0.0002252894877173,0.0001508235703934,0.0007108504144129,-0.001286185600689,0.0264948863622387
0,3,1,2.5810725425683168,0.0001455853657787,4.046007496259234e-05,0.000540144269319,0.238328713537307,-0.0286607770060992
0,3,2,3.902458715924408,3.6714002670847824e-05,1.423000496362449e-05,0.0003546245956151,0.1898722875600411,-0.0093396960805961
0,5,0,1.3192499085976073,9.312180300377104e-05,8.574561478846284e-05,0.0004470538513901,0.0114558764199906,0.0407505721908981
0,5,1,5.0996305886839846,0.0001133053231181,2.3340482869015152e-05,0.0004229710276606,0.4658345244391438,-0.0382683256209007
0,5,2,8.520636615536352,2.540969750188451e-05,6.198824514324784e-06,0.0002246334161055,0.3887306152058875,0.0263414517899672
0,7,0,1.775798580592558,6.056879536492074e-05,6.821420320439649e-05,0.00040119815878,0.049956465448452,0.0611631547660904
0,7,1,9.004927590311366,8.141948670886057e-05,1.2205970349423093e-05,0.000297033665155,0.7528550467380678,-0.0866456199033035
0,7,2,15.566009468660711,2.173456312201276e-05,2.7214887879118795e-06,0.0001109981773321,0.6967067477618837,-0.0085139182777375
0,9,0,2.247883440110153,5.399791149544172e-05,7.241587212455075e-05,0.0003168289658555,0.1170451810241928,0.0859500386495132
0,9,1,11.232346341677552,8.022884031757707e-05,8.940582723061355e-06,0.0002615715271407,0.9439941981825266,-0.0849012929762201
0,9,2,17.995601732234974,2.342680262837175e-05,2.61347450247919e-06,9.316633569229544e-05,0.8398899905414615,-0.1221722560494499
0,11,0,2.6365672469996184,6.629341216692232e-05,8.878029067615352e-05,0.0003042954552679,0.1906922798099588,0.1162921661803139
0,11,1,11.891962126836006,8.716895496183148e-05,9.494734936404007e-06,0.0002678499323078,1.0369602628963388,-0.1225555738191381
0,11,2,18.652479710673443,2.326741092013382e-05,3.521758209239779e-06,9.21464543470692e-05,0.8567945407987811,-0.2376228918677501
0,14,0,3.136536283083328,9.971961651859072e-05,0.0001024399587954,0.0003567602802414,0.2803271870802609,0.1444655224921482
0,14,1,12.87221920780122,9.013386757484377e-05,1.1914284093538202e-05,0.0002641475284724,1.13566390082361,-0.1697092564249241
0,14,2,19.625825300378725,2.3095202941606287e-05,5.71075017758352e-06,9.316926968657044e-05,0.8931415959145776,-0.4148915533469567
0,18,0,3.794747124534252,0.0001491778349666,9.956190610584016e-05,0.0004051819209059,0.4123500678206177,0.1960615042617025
0,18,1,15.231097148200718,7.814476325390045e-05,1.3570726441168012e-05,0.0002091894870237,1.2668496680062622,-0.1630974973586192
0,18,2,22.079562194488556,2.1870907392969155e-05,1.0254980233780566e-05,7.804795086451498e-05,0.994769426689572,-0.48768943076082
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0.5668952705351022,0.0001480906866162,0.0001174082618895,0.0049444324148909,-0.0543271807475908,0.0471358715844346
1,1,1,0.8309787262097723,1.3557246914562671e-05,0.0001245711480145,0.0007035073536111,0.0259553040065798,0.0490086725334102
1,1,2,1.132982831696035,0.0004843182602676,0.0002289633629263,0.0011005624674319,-0.2190869756086746,-0.1423468764962709
1,2,0,1.1314644359048656,7.224490437483963e-05,6.70624149502976e-05,0.0041299306889962,-0.0978354870575176,0.0737049288153127
1,2,1,1.6788035212966956,2.3587431090093235e-05,7.073193360245905e-05,0.0004290518252199,0.0501463184943442,0.0498043849966002
1,2,2,2.3040474389007675,0.000244749163304,0.0001178921140332,0.0005934830320924,-0.3148880470200513,-0.1955421565394711
1,3,0,1.7659584105671906,5.7691631871180894e-05,6.0796051753388635e-05,0.0036797578202074,-0.1352087790330829,0.1108304396785309
1,3,1,2.637401708551218,2.977261736813024e-05,6.179452270289204e-05,0.000350880051457,0.0746081681349888,0.058706846395836
1,3,2,3.652653589244238,0.0001603929467161,8.254724725223112e-05,0.0004568140070773,-0.3969362664234081,-0.2351492361220933
1,5,0,3.0918861469656593,4.3028696961815296e-05,6.447852628014739e-05,0.002604555006871,-0.1981240551540064,0.196304620596859
1,5,1,4.599758931288433,3.3315279797112476e-05,5.129570429244746e-05,0.000230978470903,0.1543561705373565,0.1373782546185019
1,5,2,6.422993427998948,8.561363695424784e-05,4.877156461904242e-05,0.0003192026739064,-0.4734973605104785,-0.2574709558356783
1,7,0,4.206927673921027,3.985052391069258e-05,6.120697643946921e-05,0.0020270959376792,-0.2506031129556788,0.2468609161486252
1,7,1,6.503184788429613,2.8452202216552437e-05,4.624692703256671e-05,0.0001703381563472,0.2732149547546452,0.2985486065327259
1,7,2,8.955833602282578,4.849916055347155e-05,2.696672041849855e-05,0.0002442802661653,-0.4741304769139484,-0.1568609022652728
1,9,0,4.889666428731797,4.3287134339976894e-05,5.425162711989103e-05,0.0016282943553789,-0.2914096183641462,0.243347937901905
