key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count
628,2793,0.00426589697599411,0.00426589697599411,12
628,647,0.0016126042464748025,0.0016126042464748025,19
628,562,0.0007714080275036395,-0.000703214667737484,8
628,704,0.0007039638003334403,0.0007039638003334403,4
628,1861,0.0006773339118808508,-0.0006773339118808508,4
628,2224,0.0006228394922800362,0.0006228394922800362,4
628,1210,0.0005297233583405614,0.0005297233583405614,26
628,1880,0.000469161692308262,-0.000469161692308262,10
628,1267,0.00046169012784957886,-0.00046169012784957886,8
628,2944,0.00045832095202058554,-0.00045832095202058554,12
628,2116,0.00044463793165050447,-0.00041812591371126473,8
628,168,0.00040452639223076403,-0.00040452639223076403,8
832,1210,0.03382198140025139,0.03382198140025139,374
832,1052,0.030081219971179962,0.030081219971179962,110
832,861,0.02012527547776699,0.01861552707850933,72
832,2391,0.01585492491722107,0.01585492491722107,33
832,1683,0.01428273320198059,0.01428273320198059,135
832,386,0.014237463474273682,0.014237463474273682,30
832,2432,0.01393656525760889,0.01393656525760889,29
832,508,0.013807151466608047,0.013807151466608047,37
832,1919,0.012583578936755657,-0.012583578936755657,30
832,2224,0.0125194126740098,0.0125194126740098,42
832,2721,0.012413246557116508,0.012413246557116508,65
832,2154,0.011887270025908947,0.011887270025908947,100
1307,1861,0.015069594606757164,0.015069594606757164,22
1307,327,0.009638287127017975,0.009638287127017975,18
1307,2108,0.007733509875833988,0.007733509875833988,16
1307,511,0.006829060148447752,-0.0035955749917775393,37
1307,2128,0.006417365279048681,-0.00511214230209589,34
1307,41,0.006408456712961197,0.006408456712961197,52
1307,515,0.006125536281615496,0.0009262441308237612,21
1307,880,0.005815313663333654,0.005815313663333654,11
1307,1153,0.005312982480973005,-0.003732600249350071,11
1307,1641,0.005147485062479973,0.004965957719832659,40
1307,1303,0.0050230189226567745,-0.0050230189226567745,14
1307,1837,0.004973053466528654,-0.004973053466528654,23
2801,1052,0.040537748485803604,0.040537748485803604,108
2801,2116,0.03422486037015915,-0.03422486037015915,30
2801,1210,0.031795334070920944,-0.023918671533465385,311
2801,2224,0.030054375529289246,0.030054375529289246,38
2801,2154,0.029115092009305954,0.0211558248847723,84
2801,2793,0.027621330693364143,-0.027603158727288246,37
2801,2856,0.027038879692554474,0.027038879692554474,38
2801,704,0.02112399972975254,0.012853721156716347,38
2801,2658,0.01913282833993435,0.01913282833993435,109
2801,84,0.01905616745352745,-0.01905616745352745,33
2801,739,0.018801521509885788,0.012099851854145527,435
2801,2130,0.018765142187476158,0.018765142187476158,56
