step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.33526582536391775,0.00024562202638200024,0.0002036621771552016,0.0038357201492840044,0.04438414872263275,0.022883669321574446
1,1,0.8504485828009295,6.960565068592239e-05,0.00015012536316597394,0.0015455428350802923,-0.006484535584250298,-0.06349434253619769
1,2,1.2250379931405855,6.217286161165687e-05,5.190895399471157e-05,0.0014298919602979568,-0.05016530595629671,-0.005119842361138243
2,0,0.5872140475584456,0.00024389115426680973,9.891806571482539e-05,0.0041967230385088275,0.07564862448580353,0.020315010642581156
2,1,1.571642102806352,5.14270330600568e-05,6.110652849573282e-05,0.0013556430941927295,0.007183744248999944,-0.06479421410225222
2,2,2.3256855075536724,3.3406200963040966e-05,2.1660401131708656e-05,0.0014857640241287622,-0.03495362690048257,0.04126290129906975
3,0,0.8677334032452354,0.00029506664167180653,5.6030228798842276e-05,0.00397308441344655,0.11168559135777377,0.008805333337753348
3,1,2.686059941825247,4.3083715344310595e-05,2.944709441177269e-05,0.0011758328007413898,0.011512761442022125,-0.0662130164741038
3,2,3.82248274498599,3.0961932865242685e-05,1.674207769113446e-05,0.0013637511143856189,-0.06226595319075148,0.06876776967732824
5,0,1.3688150135547295,0.00036474951993852327,4.243722873714906e-05,0.003934104737306103,0.18967835589369203,-0.02443111961764799
5,1,6.934126333584958,2.6209352477866054e-05,9.531345088918335e-06,0.0008744516713819813,0.008672872550579766,-0.08430003825058816
5,2,9.334368656398636,1.7940886325664705e-05,9.896227911486263e-06,0.0006699772837673927,-0.09888189225537797,0.037875361125903076
7,0,1.7239444031831566,0.0003489327006169889,4.5888440147278195e-05,0.00393859182158036,0.21258990887470214,-0.03089430344865091
7,1,11.501656658842029,2.0119262694068197e-05,6.156321749888139e-06,0.0007552613100104572,0.09645992494339155,-0.07485363184224693
7,2,15.014447448804352,1.039995227125666e-05,9.355255891062333e-06,0.00029207004824201267,0.062482160327892,-0.03673233506216951
9,0,1.9265216113305088,0.0003689447388705157,5.540058550390766e-05,0.00471012206897279,0.19595266069711073,-0.03940318423546991
9,1,12.581689829817307,2.5619178844163115e-05,8.47896737315891e-06,0.0008368710413532298,0.1824726788379389,-0.06725499716228679
9,2,16.2600481359969,6.4146908421004625e-06,1.2201950789081566e-05,0.00028879662412886325,0.1084754140314241,0.004934602506061324
11,0,2.068539764374527,0.00038130299780277837,7.16963796146251e-05,0.005626469045362237,0.13585123380523215,-0.060397758158425276
11,1,12.454354457245328,3.5578813481974284e-05,1.3966150551599e-05,0.00093465166607969,0.1775332298645836,-0.056909446178199014
11,2,16.14580448276317,4.614312477883342e-06,1.753797353347474e-05,0.00033596783896215214,0.12692229888760442,0.09218967102804514
14,0,2.373579451119638,0.00040356812648865124,8.559131215921452e-05,0.00679637627593912,0.07015393033070111,-0.09005663969833885
14,1,12.52037667616251,5.0595849619938984e-05,2.5109986066737912e-05,0.0010220721317984994,0.15774975234352664,-0.030729264594264543
14,2,16.376240786433787,4.063964704143235e-06,2.6308414126263748e-05,0.0004096670846542716,0.13645451475681403,0.20502241806959173
18,0,3.016843342295006,0.00038594729117077573,7.488067413830457e-05,0.006298397115424389,0.20887058825448263,-0.08880450297093784
18,1,13.90952686921446,5.546407230657496e-05,3.1210927589535416e-05,0.0011432817220933817,0.38708662393720916,0.14313891029498013
18,2,18.295544956996093,3.398846941448584e-06,2.384773244942439e-05,0.0004372653469970191,0.122037701223301,0.1774179667660078
