step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.2745817986067987,0.001333243227591229,0.00021047841622875798,0.0029601799485184273,0.01671560599519137,0.001417173911378256
1,1,0.8072042974986238,0.0003537328789391379,0.00013167608580888106,0.0010148913032942118,0.11971762140193022,-0.03830912405027377
1,2,1.284819676961076,0.00010720059896354906,4.3137748191177454e-05,0.00041673267447987956,0.0951422327628768,-0.06124215939908468
2,0,0.5086055822516263,0.0004912138277277374,0.00021654508352770546,0.0012551640429134285,0.00426896467811387,0.016557546809845374
2,1,1.6035111312251935,0.0001930297667534292,6.524985221273031e-05,0.0006330884781590921,0.1645588806266609,-0.03534685786673075
2,2,2.419700754828142,5.528220744431661e-05,2.0586564589558823e-05,0.0003758216332350786,0.13170150598500124,-0.04460600191901918
3,0,0.7907522353032884,0.00022528948771734293,0.00015082357039342053,0.0007108504144129346,-0.0012861856006890012,0.026494886362238766
3,1,2.5810725425683168,0.0001455853657787677,4.046007496259234e-05,0.0005401442693190764,0.23832871353730703,-0.028660777006099276
3,2,3.9024587159244084,3.6714002670847824e-05,1.423000496362449e-05,0.00035462459561517106,0.1898722875600411,-0.009339696080596134
5,0,1.3192499085976073,9.312180300377103e-05,8.574561478846284e-05,0.0004470538513901524,0.011455876419990681,0.04075057219089815
5,1,5.0996305886839846,0.0001133053231181461,2.3340482869015152e-05,0.000422971027660676,0.46583452443914386,-0.03826832562090072
5,2,8.520636615536352,2.5409697501884514e-05,6.198824514324784e-06,0.00022463341610558425,0.38873061520588753,0.026341451789967257
7,0,1.775798580592558,6.056879536492074e-05,6.821420320439649e-05,0.0004011981587800694,0.049956465448452086,0.061163154766090494
7,1,9.004927590311366,8.141948670886057e-05,1.2205970349423091e-05,0.00029703366515508405,0.7528550467380678,-0.0866456199033035
7,2,15.566009468660713,2.173456312201276e-05,2.7214887879118795e-06,0.0001109981773321013,0.6967067477618837,-0.008513918277737502
9,0,2.247883440110153,5.399791149544172e-05,7.241587212455075e-05,0.00031682896585551846,0.1170451810241928,0.08595003864951326
9,1,11.232346341677552,8.022884031757707e-05,8.940582723061355e-06,0.0002615715271407691,0.9439941981825266,-0.0849012929762201
9,2,17.995601732234974,2.3426802628371754e-05,2.61347450247919e-06,9.316633569229545e-05,0.8398899905414615,-0.12217225604944995
11,0,2.6365672469996184,6.629341216692232e-05,8.878029067615352e-05,0.0003042954552679273,0.19069227980995881,0.11629216618031395
11,1,11.891962126836006,8.716895496183148e-05,9.494734936404009e-06,0.0002678499323078307,1.0369602628963388,-0.12255557381913813
11,2,18.652479710673443,2.326741092013382e-05,3.521758209239779e-06,9.214645434706921e-05,0.8567945407987811,-0.23762289186775012
14,0,3.136536283083328,9.971961651859072e-05,0.00010243995879548752,0.00035676028024147084,0.2803271870802609,0.14446552249214825
14,1,12.872219207801221,9.013386757484377e-05,1.1914284093538202e-05,0.00026414752847246187,1.13566390082361,-0.16970925642492413
14,2,19.625825300378725,2.3095202941606287e-05,5.71075017758352e-06,9.316926968657044e-05,0.8931415959145776,-0.4148915533469567
18,0,3.794747124534252,0.00014917783496663583,9.956190610584017e-05,0.00040518192090596873,0.4123500678206177,0.19606150426170252
18,1,15.231097148200718,7.814476325390045e-05,1.3570726441168012e-05,0.000209189487023785,1.2668496680062622,-0.16309749735861925
18,2,22.079562194488556,2.1870907392969155e-05,1.0254980233780566e-05,7.804795086451498e-05,0.9947694266895719,-0.48768943076082
