seed,step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0.3352658253639177,0.000245622026382,0.0002036621771552,0.003835720149284,0.0443841487226327,0.0228836693215744
0,1,1,0.8504485828009295,6.960565068592239e-05,0.0001501253631659,0.0015455428350802,-0.0064845355842502,-0.0634943425361976
0,1,2,1.2250379931405857,6.217286161165687e-05,5.190895399471157e-05,0.0014298919602979,-0.0501653059562967,-0.0051198423611382
0,2,0,0.5872140475584456,0.0002438911542668,9.89180657148254e-05,0.0041967230385088,0.0756486244858035,0.0203150106425811
0,2,1,1.571642102806352,5.14270330600568e-05,6.110652849573282e-05,0.0013556430941927,0.0071837442489999,-0.0647942141022522
0,2,2,2.3256855075536724,3.3406200963040966e-05,2.1660401131708656e-05,0.0014857640241287,-0.0349536269004825,0.0412629012990697
0,3,0,0.8677334032452354,0.0002950666416718,5.603022879884227e-05,0.0039730844134465,0.1116855913577737,0.0088053333377533
0,3,1,2.686059941825247,4.308371534431059e-05,2.944709441177269e-05,0.0011758328007413,0.0115127614420221,-0.0662130164741038
0,3,2,3.82248274498599,3.0961932865242685e-05,1.674207769113446e-05,0.0013637511143856,-0.0622659531907514,0.0687677696773282
0,5,0,1.3688150135547297,0.0003647495199385,4.243722873714906e-05,0.0039341047373061,0.189678355893692,-0.0244311196176479
0,5,1,6.934126333584958,2.6209352477866057e-05,9.531345088918337e-06,0.0008744516713819,0.0086728725505797,-0.0843000382505881
0,5,2,9.334368656398636,1.7940886325664705e-05,9.896227911486263e-06,0.0006699772837673,-0.0988818922553779,0.037875361125903
0,7,0,1.7239444031831566,0.0003489327006169,4.5888440147278195e-05,0.0039385918215803,0.2125899088747021,-0.0308943034486509
0,7,1,11.501656658842029,2.0119262694068197e-05,6.156321749888139e-06,0.0007552613100104,0.0964599249433915,-0.0748536318422469
0,7,2,15.014447448804352,1.039995227125666e-05,9.355255891062332e-06,0.000292070048242,0.062482160327892,-0.0367323350621695
0,9,0,1.9265216113305088,0.0003689447388705,5.540058550390766e-05,0.0047101220689727,0.1959526606971107,-0.0394031842354699
0,9,1,12.581689829817307,2.5619178844163115e-05,8.47896737315891e-06,0.0008368710413532,0.1824726788379389,-0.0672549971622867
0,9,2,16.2600481359969,6.4146908421004625e-06,1.2201950789081566e-05,0.0002887966241288,0.1084754140314241,0.0049346025060613
0,11,0,2.068539764374527,0.0003813029978027,7.16963796146251e-05,0.0056264690453622,0.1358512338052321,-0.0603977581584252
0,11,1,12.454354457245328,3.5578813481974284e-05,1.3966150551599e-05,0.0009346516660796,0.1775332298645836,-0.056909446178199
0,11,2,16.14580448276317,4.614312477883342e-06,1.753797353347474e-05,0.0003359678389621,0.1269222988876044,0.0921896710280451
0,14,0,2.373579451119638,0.0004035681264886,8.559131215921452e-05,0.0067963762759391,0.0701539303307011,-0.0900566396983388
0,14,1,12.52037667616251,5.0595849619938984e-05,2.5109986066737912e-05,0.0010220721317984,0.1577497523435266,-0.0307292645942645
0,14,2,16.376240786433787,4.063964704143235e-06,2.6308414126263748e-05,0.0004096670846542,0.136454514756814,0.2050224180695917
0,18,0,3.016843342295006,0.0003859472911707,7.488067413830457e-05,0.0062983971154243,0.2088705882544826,-0.0888045029709378
0,18,1,13.90952686921446,5.546407230657496e-05,3.1210927589535416e-05,0.0011432817220933,0.3870866239372091,0.1431389102949801
0,18,2,18.295544956996093,3.398846941448584e-06,2.384773244942439e-05,0.000437265346997,0.122037701223301,0.1774179667660078
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0.4587748473286432,0.0001338601728224,0.0001377487089055,0.0018977378639893,0.0258327205097284,-0.0125994058625574
1,1,1,0.8422506093513624,0.0001654415631644,0.000214423424646,0.0007185134644011,0.0866956399067237,0.1070372695691406
1,1,2,1.2159852982831794,2.9167188879559017e-05,0.0001228349101966,0.0003789418194284,-0.0503028000963225,0.1249574508285939
1,2,0,0.9985839791845968,0.0001274104491828,8.613631165152691e-05,0.0008595551067348,0.0499812810671557,-0.0395001065395148
1,2,1,1.8484703707761725,0.0001281157455159,0.0001136684490201,0.0003911101730938,0.1813096683455414,0.1830425351747626
1,2,2,2.5630572048005797,6.6059251119350344e-06,6.170230224226579e-05,0.0001553103576943,-0.0265902231468759,0.1980928255482363
1,3,0,1.5994396991603683,0.0001137542924893,7.923490554894515e-05,0.0005859846286675,0.0700707678167024,-0.0697015875327291
1,3,1,2.9408855451651603,0.0001168360544409,9.198848562166257e-05,0.000309908436224,0.2901488762387773,0.27270763713903
1,3,2,4.047092232117672,4.494574363455665e-06,4.297443637475077e-05,0.0001081772967286,-0.0054615842819698,0.2600148556413126
1,5,0,2.769265461988521,6.451614531195147e-05,6.661983046897865e-05,0.0003457977896095,0.0723159146942943,-0.1062548010892354
1,5,1,4.809090051864,0.0001258534916885,8.729068385906456e-05,0.0003008449942958,0.5216147963336267,0.46094677946139
1,5,2,6.964843466470856,5.681805065399162e-06,3.1621777829220556e-05,0.000110022983726,0.0654905753978179,0.3962735213742287
1,7,0,3.635967093145682,5.43388499909387e-05,5.4790280750386415e-05,0.000295872819541,0.0343560773383589,-0.1276924019925097
1,7,1,6.00831999692411,0.0001172498007752,8.236641462425162e-05,0.0002777966859474,0.6551911414919938,0.5781636226288674
1,7,2,8.823961915733829,9.070892679778766e-06,2.444755035069414e-05,0.0001110496716581,0.1777027428714069,0.4096310740122745
1,9,0,4.10567701156589,5.183964540113821e-05,5.149645606983457e-05,0.0002978875147078,0.0125303138643846,-0.1302072552367531
