train_seed,family,alpha,x_mean,y_mean,n_generation_seeds
0,OV/FRA,0.0,364.91082274311185,0,3
0,OV/FRA,0.15,261.2115928171215,2,3
0,OV/FRA,0.3,194.89002060384988,3.3333333333333335,3
0,OV/FRA,0.45,162.40244011396578,6.333333333333333,3
0,OV/FRA,0.6,71.55551112738551,15,3
0,OV/FRA,0.75,34.09468479764346,31,3
0,OV/FRA,0.9,14.694941050314544,53.333333333333336,3
0,OV/FRA,1.05,9.377062975058172,73,3
0,OV/FRA,1.2,6.3350214492315295,88.33333333333333,3
0,OV/FRA,1.5,5.224708323905041,97.33333333333333,3
0,OV/FRA,1.75,5.099943464688428,98.33333333333333,3
0,OV/FRA,2.0,5.148835580532156,98.33333333333333,3
0,Single feature,0.0,364.91082274311185,0,3
0,Single feature,0.15,221.75622497605792,1.6666666666666667,3
0,Single feature,0.3,153.05432107892477,4.333333333333333,3
0,Single feature,0.45,100.43055595005099,9,3
0,Single feature,0.6,51.63155146970122,20.666666666666668,3
0,Single feature,0.75,24.163811304344847,40.666666666666664,3
0,Single feature,0.9,13.761302303339313,60.666666666666664,3
0,Single feature,1.05,8.404553726066084,81,3
0,Single feature,1.2,6.265183008478208,93.66666666666667,3
0,Single feature,1.5,5.3690631192620435,98.33333333333333,3
0,Single feature,1.75,5.369004839799295,98.33333333333333,3
0,Single feature,2.0,5.134391071532781,98.33333333333333,3
1,OV/FRA,0.0,364.91082274311185,0,3
1,OV/FRA,0.15,276.62701954660395,1.6666666666666667,3
1,OV/FRA,0.3,198.01157972132103,4,3
1,OV/FRA,0.45,61.71613179713628,18.333333333333332,3
1,OV/FRA,0.6,18.167571073842932,45,3
1,OV/FRA,0.75,8.599882588114207,76,3
1,OV/FRA,0.9,5.314357031894998,94.66666666666667,3
1,OV/FRA,1.05,4.951240302653684,97.66666666666667,3
1,OV/FRA,1.2,4.806086684326098,98,3
1,OV/FRA,1.5,4.9383643939505,98.33333333333333,3
1,OV/FRA,1.75,5.133237515510022,98.33333333333333,3
1,OV/FRA,2.0,5.090896074193993,98.33333333333333,3
1,Single feature,0.0,364.91082274311185,0,3
1,Single feature,0.15,205.15268495736447,2.3333333333333335,3
1,Single feature,0.3,134.81687964568383,5.666666666666667,3
1,Single feature,0.45,70.87618786990132,12.666666666666666,3
1,Single feature,0.6,37.55794282127664,27.666666666666668,3
1,Single feature,0.75,17.125542171207833,52.333333333333336,3
1,Single feature,0.9,9.66394254316757,77,3
1,Single feature,1.05,6.785762254673673,93,3
1,Single feature,1.2,5.778236264898624,98,3
1,Single feature,1.5,5.3104099508700084,98.33333333333333,3
1,Single feature,1.75,5.246090178690747,98.33333333333333,3
1,Single feature,2.0,5.106939998636885,98.33333333333333,3
2,OV/FRA,0.0,364.91082274311185,0,3
2,OV/FRA,0.15,362.9256454951734,0,3
2,OV/FRA,0.3,326.30889561120387,1,3
2,OV/FRA,0.45,203.54491047610395,4.333333333333333,3
2,OV/FRA,0.6,91.88286599791579,12.666666666666666,3
2,OV/FRA,0.75,41.478900113310246,24.666666666666668,3
2,OV/FRA,0.9,24.24992235286286,41,3
2,OV/FRA,1.05,13.951485979230096,58,3
2,OV/FRA,1.2,9.870976807559092,70,3
2,OV/FRA,1.5,6.538892430692636,87,3
2,OV/FRA,1.75,5.640498907895635,94,3
2,OV/FRA,2.0,5.314037414070425,97.66666666666667,3
2,Single feature,0.0,364.91082274311185,0,3
2,Single feature,0.15,243.85996826860944,1.3333333333333333,3
2,Single feature,0.3,194.7269371862574,3.3333333333333335,3
2,Single feature,0.45,147.0461748315402,6,3
2,Single feature,0.6,73.05528831623329,12.333333333333334,3
2,Single feature,0.75,45.864502552787144,23.666666666666668,3
2,Single feature,0.9,31.5635598585726,33,3
2,Single feature,1.05,18.054482703009654,52.666666666666664,3
2,Single feature,1.2,12.456386993502377,67.33333333333333,3
2,Single feature,1.5,7.114444128129435,89.66666666666667,3
2,Single feature,1.75,5.92267850756608,97.66666666666667,3
2,Single feature,2.0,5.6572120835653745,98,3
