key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count
628,2793,0.022255854681134224,0.022255854681134224,60
628,647,0.011097252368927002,0.011097252368927002,99
628,562,0.006233353167772293,-0.0061651598662137985,56
628,999,0.0060239676386117935,-0.0060239676386117935,56
628,2944,0.0034122925717383623,-0.0034122925717383623,60
628,163,0.0033671206329017878,0.0033671206329017878,59
628,1880,0.002802472561597824,-0.002802472561597824,58
628,1712,0.0023823529481887817,-0.0023823529481887817,56
628,192,0.002366188680753112,-0.002366188680753112,50
628,985,0.00217585195787251,0.00217585195787251,56
628,2116,0.002032551681622863,-0.002006039721891284,52
628,447,0.0016920040361583233,0.001681263092905283,58
832,647,0.6017144322395325,0.6017144322395325,4270
832,2856,0.5050533413887024,0.5050533413887024,1929
832,1880,0.4616755545139313,0.4616755545139313,1934
832,447,0.37096306681632996,0.37096306681632996,1928
832,658,0.3532089293003082,0.3532089293003082,1831
832,631,0.2979174852371216,0.2979174852371216,1917
832,2723,0.29751530289649963,0.29751530289649963,1910
832,2116,0.2699250876903534,-0.2699250876903534,1858
832,562,0.2627549469470978,0.2627549469470978,1908
832,1375,0.2499251812696457,0.2499251812696457,1646
832,2285,0.21767698228359222,0.21767698228359222,1980
832,168,0.19248342514038086,0.19248342514038086,1895
1307,2116,0.41203293204307556,-0.4116392731666565,908
1307,2856,0.36698293685913086,0.36698293685913086,940
1307,2793,0.34115397930145264,-0.34115397930145264,955
1307,647,0.3033560514450073,0.3033560514450073,2041
1307,658,0.30045899748802185,0.30045899748802185,890
1307,1880,0.2763514816761017,0.2763514816761017,943
1307,192,0.22984570264816284,-0.22984570264816284,786
1307,631,0.22842270135879517,0.22842270135879517,935
1307,1375,0.21104076504707336,0.21104076504707336,802
1307,447,0.19579382240772247,0.19579382240772247,939
1307,2098,0.1842588484287262,0.1842588484287262,941
1307,562,0.1729402244091034,0.1729402244091034,928
2801,2116,2.04024338722229,-2.04024338722229,2612
2801,2793,1.8017762899398804,-1.8017581701278687,2758
2801,192,1.4650009870529175,-1.4650009870529175,2332
2801,2856,1.1516287326812744,1.1516287326812744,2738
2801,1880,1.006635308265686,1.006635308265686,2747
2801,447,0.9191064238548279,0.9191064238548279,2744
2801,2723,0.8860895037651062,0.8860895037651062,2723
2801,631,0.7181789875030518,0.7181789875030518,2711
2801,999,0.7118479609489441,-0.7118479609489441,2695
2801,647,0.7047253251075745,0.7047253251075745,5763
2801,658,0.7007910013198853,0.7007910013198853,2604
2801,2285,0.6403501033782959,0.6402543783187866,2818
