step,layer,prompt,base_dec_MD,base_dec_MO,base_dec_AD,base_dec_AO,base_dec_P_M,base_dec_P_D,base_dec_chi,base_dec_det,own_dec_MD,own_dec_MO,own_dec_AD,own_dec_AO,own_dec_P_M,own_dec_P_D,own_dec_chi,own_dec_det,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent
0,0,D,-0.04521780232941153,0.03187432507097099,0.976623739330678,0.036719737927679574,-0.01334347725841098,0.9314059370013346,-1.0169961288033527,1.1311526443361954e-05,-0.04521780232941153,0.03187432507097099,0.976623739330678,0.036719737927679574,-0.01334347725841098,0.9314059370013346,-1.0169961288033527,1.1311526443361954e-05,0.0023348447866737843,5.252582258030714e-10,7.449543045368046e-05,5.28118937470623e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0
0,0,O,0.014435048312655296,-0.014777224452695359,-0.02125028165937959,1.021592457799323,-0.00034217614000189855,-0.006815233346632699,1.0720550122240624,-1.9203056175445994e-05,0.014435048312655296,-0.014777224452695359,-0.02125028165937959,1.021592457799323,-0.00034217614000189855,-0.006815233346632699,1.0720550122240624,-1.9203056175445994e-05,0.0023348447866737843,5.252582258030714e-10,7.449543045368046e-05,5.28118937470623e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0
0,1,D,0.008243366414176556,-0.017646583645453795,0.9563803022135867,0.05302291501755946,-0.00940321723114601,0.9646236686278673,-0.8774674371363602,-1.2023397420269928e-05,0.008243366414176556,-0.017646583645453795,0.9563803022135867,0.05302291501755946,-0.00940321723114601,0.9646236686278673,-0.8774674371363602,-1.2023397420269928e-05,0.0023348447866737843,5.252582258030714e-10,7.449543045368046e-05,5.28118937470623e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0
0,1,O,-0.08387699070587759,0.0835232416382509,0.0020848771951890166,0.9982688718723822,-0.00035374906757112967,-0.08179211351061078,0.8287837623331378,-1.1066427613739508e-05,-0.08387699070587759,0.0835232416382509,0.0020848771951890166,0.9982688718723822,-0.00035374906757112967,-0.08179211351061078,0.8287837623331378,-1.1066427613739508e-05,0.0023348447866737843,5.252582258030714e-10,7.449543045368046e-05,5.28118937470623e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0
0,2,D,0.005883994215742261,-0.005541754336268356,0.9746865199528729,0.024971240167680597,0.0003422398794740711,0.9805705141686064,-0.9382895312332037,-3.081958140810164e-05,0.005883994215742261,-0.005541754336268356,0.9746865199528729,0.024971240167680597,0.0003422398794740711,0.9805705141686064,-0.9382895312332037,-3.081958140810164e-05,0.0023348447866737843,5.252582258030714e-10,7.449543045368046e-05,5.28118937470623e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0
0,2,O,0.005707717121942624,0.00203760348184312,0.005855421060579902,0.9863992583356446,0.007745320603787242,0.011563138182520694,0.9842139509151674,-2.428090888043641e-05,0.005707717121942624,0.00203760348184312,0.005855421060579902,0.9863992583356446,0.007745320603787242,0.011563138182520694,0.9842139509151674,-2.428090888043641e-05,0.0023348447866737843,5.252582258030714e-10,7.449543045368046e-05,5.28118937470623e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0
1,0,D,0.6748722061435769,-0.7167153798222172,1.2378761350622831,-0.19603296138371284,-0.041843173678626416,1.912748341205924,-0.04232151048018551,-0.00021269585679552748,-0.022237403881573137,0.008388114231457244,0.9834326595399929,0.030416630110120302,-0.013849289650091468,0.9611952556584407,-0.9836415475429692,-2.3244958968731202e-05,0.007814568467438221,6.677765007623293e-10,0.0002217207511421293,7.045707905994902e-10,0.0146484375,0.0,0.0,0.0,0.9853515625,0.0,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875
1,0,O,0.7713152736373153,-0.8207877060644642,0.4011557320241943,0.6483167004028658,-0.04947243242711055,1.1724710056615932,1.839263948080447,-0.00022597021502486752,-0.0069522356634577065,-0.0006787984339799991,-0.0001386876281719296,1.0077697217256008,-0.007631034097410422,-0.007090923291618978,1.0016349721242581,9.288577858717131e-07,0.007814568467438221,6.677765007623293e-10,0.0002217207511421293,7.045707905994902e-10,0.0146484375,0.0,0.0,0.0,0.9853515625,0.0,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875
1,1,D,-0.30361030235457154,0.2296356756022213,1.0775391063773676,-0.0035644796251629862,-0.07397462675220495,0.7739288040229182,-1.6143495639592693,-5.9859031926010606e-05,-0.02402174683536029,0.012478275831627972,0.9620295225872025,0.04951394841648449,-0.01154347100369063,0.93800777575194,-0.9490155968376888,-2.0545359541389676e-05,0.007814568467438221,6.677765007623293e-10,0.0002217207511421293,7.045707905994902e-10,0.0146484375,0.0,0.0,0.0,0.9853515625,0.0,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875
1,1,O,-0.23334408215378477,0.156760109631884,0.25736022802858605,0.8192237444932393,-0.07658397252182636,0.02401614587488743,0.1717593246790754,-0.00026371710059501974,-0.041626545949374094,0.027312567413817046,0.007582651548413533,1.0067313269870994,-0.01431397853551239,-0.034043894400878516,0.9302095620755448,-3.448207231817308e-05,0.007814568467438221,6.677765007623293e-10,0.0002217207511421293,7.045707905994902e-10,0.0146484375,0.0,0.0,0.0,0.9853515625,0.0,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875
1,2,D,0.00792613272385112,-0.0016562355597934675,0.9523644158427913,0.04136568699317844,0.006269897164058846,0.9602905485666328,-0.9014163605659921,-3.855107049833477e-05,0.0020664851201696866,-0.008772400835456884,0.9697983261276734,0.03690758958756246,-0.006705915715297495,0.9718648112478406,-0.9220518505845089,-1.0371112364837066e-05,0.007814568467438221,6.677765007623293e-10,0.0002217207511421293,7.045707905994902e-10,0.0146484375,0.0,0.0,0.0,0.9853515625,0.0,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875
1,2,O,0.03348330757796003,0.018464174571567293,0.0007936480164085213,0.9472588698340778,0.05194748214952846,0.034276955594365166,0.9614843548240636,-0.00010458939376226356,0.0004297452870437868,-0.005399563303666616,0.009011616185020888,0.9959582018316468,-0.004969818016626784,0.009441361472057597,0.992775894237327,-9.132663187371684e-06,0.007814568467438221,6.677765007623293e-10,0.0002217207511421293,7.045707905994902e-10,0.0146484375,0.0,0.0,0.0,0.9853515625,0.0,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875
2,0,D,1.3712489948475928,-1.509669929928019,1.778737362180273,-0.6403164270999362,-0.1384209350804175,3.1499863570279363,0.46186513549541175,-0.0004131735944227074,-0.015867318336019842,0.0038334372249519966,1.0183445720328939,-0.006310690921845108,-0.012033881111071398,1.0024772536968738,-1.0443560185156606,-3.86551989438691e-05,0.023954614996910095,1.1140365296924415e-09,0.0005550897330977023,8.43365044467248e-10,0.048828125,0.0009765625,0.0,0.0,0.94921875,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
2,0,O,1.4833911343731843,-1.6319013642372753,1.0358111594676567,0.11269907039634042,-0.1485102298640613,2.519202293840938,2.192180409539162,-0.0004020809623086598,-0.029697408456107688,0.025227118045241692,0.027514055022860973,0.9769562353879815,-0.004470290410865552,-0.0021833534332518223,0.8945176538637831,1.6287423736157438e-05,0.023954614996910095,1.1140365296924415e-09,0.0005550897330977023,8.43365044467248e-10,0.048828125,0.0009765625,0.0,0.0,0.94921875,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
2,1,D,0.016911544093650477,-0.13434704309499423,1.214834608246655,-0.09739910924549916,-0.11743549900115494,1.2317461523404694,-1.1609751303034566,-0.00015220417688914127,0.026103960543309324,-0.02664654886286577,0.9764828495867531,0.024059738732780223,-0.0005425883195280812,1.0025868101301025,-0.8996726014478091,-2.7189122807253035e-05,0.023954614996910095,1.1140365296924415e-09,0.0005550897330977023,8.43365044467248e-10,0.048828125,0.0009765625,0.0,0.0,0.94921875,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
2,1,O,-0.09303686015219417,-0.02978788829115668,0.4968634180429845,0.6259613304002496,-0.12282474844323471,0.40382655789089894,0.0658489404963023,-0.0004631730469278279,-0.022753737132160556,0.01349449872364794,-0.00032216370554316587,1.009581402114037,-0.009259238408494824,-0.023075900837741914,0.973655329963746,-1.3233701450113414e-05,0.023954614996910095,1.1140365296924415e-09,0.0005550897330977023,8.43365044467248e-10,0.048828125,0.0009765625,0.0,0.0,0.94921875,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
2,2,D,0.06097321181137749,0.01639063517340511,0.9064931076031169,0.01614304541212952,0.07736384698478255,0.9674663194144845,-0.845767485553044,-7.620766878161755e-05,0.0034799841302903325,-0.005359536324710257,0.9703711495245481,0.03150840266988186,-0.0018795521944204308,0.9738511336548308,-0.9300232263996696,-1.275917602000626e-05,0.023954614996910095,1.1140365296924415e-09,0.0005550897330977023,8.43365044467248e-10,0.048828125,0.0009765625,0.0,0.0,0.94921875,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
2,2,O,0.05251239371170402,0.04511246524320095,0.023711338892965117,0.8786638021521457,0.09762485895490511,0.07622373260466431,0.8623523917276844,-0.00014731376089181016,-0.009385990388851968,-0.005923183581096489,0.015366303505757684,0.9999428704641942,-0.015309173969946702,0.0059803131169055,0.9811137601506806,8.021504588594008e-06,0.023954614996910095,1.1140365296924415e-09,0.0005550897330977023,8.43365044467248e-10,0.048828125,0.0009765625,0.0,0.0,0.94921875,0.0009765625,0.0,0.001953125,0.0,0.0,0.998046875,0.0
3,0,D,1.8433278404601254,-2.0853981717993495,2.4525903456519433,-1.2105200143127988,-0.2420703313392126,4.2959181861121465,0.26561565229472706,-0.0005567996764015053,0.01925706838181407,-0.029011264841428464,1.0229186948562878,-0.013164498396668556,-0.009754196459626385,1.0421757632380992,-0.9878148600296832,-3.769454941010618e-05,0.05449073016643524,1.4902562517349338e-09,0.0014469176530838013,9.03214725234136e-10,0.1162109375,0.0,0.0,0.0,0.8837890625,0.0,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
3,0,O,1.9465526362285588,-2.19908159985048,1.8003415447182718,-0.5478125810964434,-0.2525289636218989,3.7468941809469216,1.7974801102643276,-0.0004995070503648856,-0.02049556891710891,0.029683319015052945,0.021101831559561468,0.9697104183424896,0.009187750097932268,0.0006062626424514495,0.8984296988508049,1.3945222167914399e-05,0.05449073016643524,1.4902562517349338e-09,0.0014469176530838013,9.03214725234136e-10,0.1162109375,0.0,0.0,0.0,0.8837890625,0.0,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
3,1,D,0.14939342172462933,-0.29004229929364955,1.3722315001557739,-0.23158262258693935,-0.14064887756883213,1.5216249218805489,-1.164378401724373,-0.00032842826851396835,0.05458220377379219,-0.055146902798757225,0.9932752035998585,0.007289495425052694,-0.0005646990248974471,1.0478574073736904,-0.8762566016022784,-1.6924963394947587e-05,0.05449073016643524,1.4902562517349338e-09,0.0014469176530838013,9.03214725234136e-10,0.1162109375,0.0,0.0,0.0,0.8837890625,0.0,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
3,1,O,0.004588753938263079,-0.12569937555656086,0.7501406923765899,0.37096992924158373,-0.12111062161817038,0.7547294463149523,-0.2488826336400728,-0.0006926031618309974,0.003226325316340206,-0.0024053963369794207,-0.00751128559393055,1.006690356614531,0.0008209289794060548,-0.004284960277542882,1.0198333638618038,4.814601674838626e-06,0.05449073016643524,1.4902562517349338e-09,0.0014469176530838013,9.03214725234136e-10,0.1162109375,0.0,0.0,0.0,0.8837890625,0.0,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
3,2,D,0.12308434606903962,0.015264933619472926,0.845935064038037,0.015715656273478706,0.13834927968851057,0.9690194101070674,-0.7223999953150196,-0.00013587771549826845,0.0020300792616778363,-0.002283663673612185,0.978186507032635,0.02206707737931768,-0.0002535844119321701,0.9802165862943044,-0.9518056867180464,-6.414860526786611e-06,0.05449073016643524,1.4902562517349338e-09,0.0014469176530838013,9.03214725234136e-10,0.1162109375,0.0,0.0,0.0,0.8837890625,0.0,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
3,2,O,0.09510112413576786,0.06838780592985216,0.03968133155307263,0.7968297383813243,0.16348893006561993,0.13478245568883523,0.7838617250341654,-0.00021613331431567643,-0.011613119039955412,-0.0012064748418369187,0.01947933369034066,0.9933402601914554,-0.012819593881797889,0.007866214650388392,0.963454282302995,1.4268932611309366e-05,0.05449073016643524,1.4902562517349338e-09,0.0014469176530838013,9.03214725234136e-10,0.1162109375,0.0,0.0,0.0,0.8837890625,0.0,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125
5,0,D,2.0691749002132434,-2.401181193276832,3.6466615686682315,-2.314655275604719,-0.33200629306357554,5.715836468881554,-1.490960750782893,-0.001043723121512595,0.08792077621836203,-0.09174553555099241,0.9757562659642054,0.02806849336838657,-0.0038247593325964058,1.063677042182587,-0.7680214608264162,-0.00010696788303642547,0.1466847062110901,1.6150054626962174e-09,0.006982617080211639,6.689552245475738e-10,0.3447265625,0.001953125,0.0,0.0,0.6533203125,0.0,0.0,0.0087890625,0.0,0.0,0.990234375,0.0009765625
5,0,O,2.0863681858184715,-2.387307228840898,3.048397764395999,-1.7474587213736816,-0.30093904302238894,5.134765950214586,-0.32218107111036787,-0.0010343954598557598,-0.014117780071537744,0.03358265065081234,-0.027387386397857316,1.007922515818571,0.019464870579303017,-0.041505166469393506,0.9876094714941335,-2.362404848717031e-05,0.1466847062110901,1.6150054626962174e-09,0.006982617080211639,6.689552245475738e-10,0.3447265625,0.001953125,0.0,0.0,0.6533203125,0.0,0.0,0.0087890625,0.0,0.0,0.990234375,0.0009765625
5,1,D,-0.8239788891159563,0.7425004650488063,1.637758792802734,-0.556280368735774,-0.08147842406695524,0.8137799036869424,-3.760518515703235,-0.0009818065604044798,0.0032210773832987982,-0.001480840556205898,0.9924106111428233,0.005849152030124594,0.0017402368270624802,0.9956316885261356,-0.9818595411731836,-7.890983142117046e-05,0.1466847062110901,1.6150054626962174e-09,0.006982617080211639,6.689552245475738e-10,0.3447265625,0.001953125,0.0,0.0,0.6533203125,0.0,0.0,0.0087890625,0.0,0.0,0.990234375,0.0009765625
5,1,O,-1.0650543996516926,1.1047939689805362,1.1478876600732049,-0.18762722940215865,0.03973956932896078,0.08283326042162686,-3.505363258107501,-0.0013517218800579238,-0.0120956036700961,0.022310686741227714,-0.01163730536645241,1.001422222295329,0.010215083071125064,-0.02373290903654479,0.9786532372504148,-2.3158575791490236e-05,0.1466847062110901,1.6150054626962174e-09,0.006982617080211639,6.689552245475738e-10,0.3447265625,0.001953125,0.0,0.0,0.6533203125,0.0,0.0,0.0087890625,0.0,0.0,0.990234375,0.0009765625
5,2,D,0.2491512027050633,-0.05069076511554069,0.7110081592867833,0.09053140312372399,0.1984604375895202,0.9601593619918339,-0.32063478834249004,-0.0003377519865000141,0.009813707843774742,-0.013279749498380754,0.9815208989467142,0.02194514270787773,-0.003466041654603881,0.9913346067905082,-0.9364822988966798,-9.22641423064868e-06,0.1466847062110901,1.6150054626962174e-09,0.006982617080211639,6.689552245475738e-10,0.3447265625,0.001953125,0.0,0.0,0.6533203125,0.0,0.0,0.0087890625,0.0,0.0,0.990234375,0.0009765625
5,2,O,0.22121700751016962,0.05246178453997363,0.07467889744090123,0.6516423105089754,0.2736787920501441,0.2958959049510624,0.7457186360382705,-0.00046667583715980724,-0.011534173627895938,0.004662611817803093,0.021075299256275215,0.9857962625538149,-0.006871561810088529,0.009541125628386049,0.9485241778518322,7.987016667882884e-06,0.1466847062110901,1.6150054626962174e-09,0.006982617080211639,6.689552245475738e-10,0.3447265625,0.001953125,0.0,0.0,0.6533203125,0.0,0.0,0.0087890625,0.0,0.0,0.990234375,0.0009765625
7,0,D,1.5523333566332158,-1.8552734050065587,4.57936209373894,-3.2764220453656687,-0.3029400483733451,6.13169545037223,-4.448177377464862,-0.0015740298096892447,0.07235309257359734,-0.06985033521835682,0.9577841886494849,0.03971305399527947,0.0025027573552377502,1.0301372812230873,-0.7758677068622086,-9.090891265741796e-05,0.26536116003990173,1.6235418565102577e-09,0.017102843150496483,3.811634341488457e-10,0.63671875,0.0009765625,0.0,0.0,0.359375,0.0029296875,0.0009765625,0.03515625,0.0,0.0,0.9619140625,0.001953125
7,0,O,1.5571775247906845,-1.7672080992897004,3.996235393478146,-2.786204818979211,-0.21003057449900622,5.553412918268931,-3.4580545883770455,-0.00174107651579063,-0.006076325254734449,0.017601113139962266,-0.00014635839011711838,0.9886215705048902,0.01152478788523048,-0.006222683644842242,0.9650904905003932,-5.447424170664113e-05,0.26536116003990173,1.6235418565102577e-09,0.017102843150496483,3.811634341488457e-10,0.63671875,0.0009765625,0.0,0.0,0.359375,0.0029296875,0.0009765625,0.03515625,0.0,0.0,0.9619140625,0.001953125
7,1,D,-2.5546666061450756,2.591935265299803,1.7682087787973426,-0.8054774379522416,0.037268659154908734,-0.7864578273476006,-7.720288088194419,-0.00140794474509803,0.09013273720671777,-0.07403906640626023,0.9562366825324693,0.02766964666702687,0.016093670800505278,1.046369419739183,-0.7643952322524399,-0.00011229849270101046,0.26536116003990173,1.6235418565102577e-09,0.017102843150496483,3.811634341488457e-10,0.63671875,0.0009765625,0.0,0.0,0.359375,0.0029296875,0.0009765625,0.03515625,0.0,0.0,0.9619140625,0.001953125
7,1,O,-3.469268833410398,3.73374157202083,1.4251241889847748,-0.6895969275952853,0.264472738610523,-2.0441446444255167,-9.317731522011151,-0.0020099522453311328,-0.016920562086382818,0.032671355807188496,-0.012989692732856495,0.9972388990120948,0.015750793720768833,-0.029910254819294657,0.9606366738513565,-3.7309334287557614e-05,0.26536116003990173,1.6235418565102577e-09,0.017102843150496483,3.811634341488457e-10,0.63671875,0.0009765625,0.0,0.0,0.359375,0.0029296875,0.0009765625,0.03515625,0.0,0.0,0.9619140625,0.001953125
7,2,D,0.39959485714913057,-0.1293345474307668,0.601640930380291,0.1280987599013771,0.27026030971836196,1.0012357875294096,0.055387234100949034,-0.00034147374250938114,0.010809223472657142,-0.00034667864489901223,0.9748679843409559,0.01466947083128245,0.010462544827764542,0.9856772078136171,-0.9490426113921329,-4.771720720697344e-05,0.26536116003990173,1.6235418565102577e-09,0.017102843150496483,3.811634341488457e-10,0.63671875,0.0009765625,0.0,0.0,0.359375,0.0029296875,0.0009765625,0.03515625,0.0,0.0,0.9619140625,0.001953125
7,2,O,0.40691858341478254,-0.02379606663315942,0.11452319747822454,0.5023542857401728,0.38312251678162274,0.5214417808929978,0.8185457383098901,-0.0007464552661035781,-0.005520614193563492,-0.007864621061704269,0.030434673645991173,0.9829505616092808,-0.013385235255268024,0.024914059452429138,0.9548598948314089,4.260688809089785e-05,0.26536116003990173,1.6235418565102577e-09,0.017102843150496483,3.811634341488457e-10,0.63671875,0.0009765625,0.0,0.0,0.359375,0.0029296875,0.0009765625,0.03515625,0.0,0.0,0.9619140625,0.001953125
9,0,D,0.8467795654528659,-1.1251213679310086,5.389681369693966,-4.111339567215926,-0.2783418024781297,6.236460935146932,-7.529120003526074,-0.0021136405153910987,0.059241549462369925,-0.04927632001320603,0.9411355176514531,0.0488992528993879,0.009965229449180282,1.000377067113834,-0.7837183952765177,-0.00010730376867706286,0.38212019205093384,1.6075407671678477e-09,0.5073801279067993,2.917388552958755e-09,0.8662109375,0.0,0.0,0.0,0.1318359375,0.001953125,0.009765625,0.3017578125,0.0,0.0,0.6865234375,0.001953125
9,0,O,0.9809373357799144,-1.056089276628745,4.8594418458843895,-3.784289905035619,-0.07515194084881818,5.84037918166438,-6.606705138511462,-0.002614730119466114,0.0013270510524696633,0.01458167715838865,0.023935383636123575,0.9601558881530257,0.015908728210867473,0.025262434688603896,0.9229658784109649,-7.5015155307014e-05,0.38212019205093384,1.6075407671678477e-09,0.5073801279067993,2.917388552958755e-09,0.8662109375,0.0,0.0,0.0,0.1318359375,0.001953125,0.009765625,0.3017578125,0.0,0.0,0.6865234375,0.001953125
