key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count
628,2793,1.9586960077285767,1.9586960077285767,3197
628,647,1.007370948791504,1.007370948791504,5718
628,562,0.5683778524398804,-0.54635089635849,2990
628,999,0.5189372301101685,-0.5189372301101685,2985
628,163,0.29792270064353943,0.29792270064353943,3125
628,2944,0.2876198887825012,-0.2876198887825012,3197
628,1712,0.24739186465740204,-0.24739186465740204,2932
628,1880,0.23766715824604034,-0.23766715824604034,3084
628,192,0.21735984086990356,-0.21695585548877716,2804
628,2116,0.17814038693904877,-0.17297634482383728,2783
628,985,0.16362200677394867,0.16362200677394867,2983
628,1703,0.15879201889038086,-0.1586264967918396,2156
832,647,10.774545669555664,10.774545669555664,80016
832,2856,8.860910415649414,8.860910415649414,35494
832,1880,8.37457275390625,8.37457275390625,35651
832,447,6.852680206298828,6.852680206298828,35518
832,658,6.5749831199646,6.5749831199646,33828
832,2723,6.125899791717529,6.125899791717529,35425
832,631,5.0398664474487305,5.0398664474487305,34809
832,562,4.738429546356201,4.738429546356201,34968
832,2116,4.550475120544434,-4.550475120544434,34027
832,1375,4.176141738891602,4.176141738891602,29833
832,192,3.6661620140075684,-3.6661620140075684,31555
832,168,3.4368789196014404,3.4368789196014404,34540
1307,2116,5.914477348327637,-5.914130687713623,14495
1307,2856,5.567126274108887,5.567126274108887,15036
1307,2793,5.259125232696533,-5.259125232696533,15369
1307,658,4.791775703430176,4.791775703430176,14310
1307,647,4.683694362640381,4.683694362640381,33425
1307,1880,4.363778591156006,4.363778591156006,15107
1307,192,3.978071689605713,-3.9780049324035645,13320
1307,631,3.276978015899658,3.276978015899658,14797
1307,447,3.1262269020080566,3.1262269020080566,15051
1307,1375,3.1113572120666504,3.1113572120666504,12559
1307,2098,3.0268821716308594,3.0268821716308594,14864
1307,562,2.7339258193969727,2.7339258193969727,14823
2801,2116,21.51080322265625,-21.510740280151367,34054
2801,2793,19.876964569091797,-19.87662124633789,36350
2801,192,16.8226375579834,-16.8226375579834,31784
2801,2856,12.48043441772461,12.48043441772461,35630
2801,1880,11.28984260559082,11.28984260559082,35790
2801,2723,11.049600601196289,11.049600601196289,35590
2801,447,9.96402645111084,9.96402645111084,35648
2801,999,8.040806770324707,-8.040806770324707,35146
2801,658,7.892258167266846,7.892258167266846,33885
2801,647,7.677097320556641,7.677097320556641,77118
2801,631,7.407525062561035,7.407479286193848,35060
2801,2285,6.025121688842773,6.0246734619140625,35695
