seed,step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0,0.0015238800551742,2.8603003299210167e-10,8.112337673082948e-05,4.2228098795504815e-10,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0,0.9405013072696272,0.6983772222711154,0.9955578513077108,0.9958512281243564,0.9992296099817448,0.9906815410506052,0.978596123413562,0.9933031981672392,-0.9839219090654988,-0.0092795338889564,-0.2587465061123417,208283,17145,0.9992073976669696,200781,3639,0.9964114128676658,25631,21992,0.7005047665602204,465889,191138,0.9912731347820464,0.5917081622653143,-180.84160933342127,0.1037364833749954,0.7786489062990359,0.905482500871977,0.2310263574236913,-35.96028584510916,0.1404084430539895,-75.59979606897285,0.0700993123575888,0.9999999999999968,0.9999999999999968,0.9999999999999865,0.9999999999999865,0.999999999999704,0.9999999999999972,0.9999999999999996,0.9999999302139836
0,0,1,0.0015238800551742,2.8603003299210167e-10,8.112337673082948e-05,4.2228098795504815e-10,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0,0.9927148134133692,0.9582262031987668,0.9997884432634851,0.9997424183288988,0.999497181099612,0.9985056724927982,0.9982686784609004,0.9874655481947628,-0.9174647428123116,-0.2200823456953003,-0.2181580220320363,208283,17145,0.9997551499614072,200781,3639,0.9984809541078804,25631,21992,0.9828700363498408,465889,191138,0.999672316193003,0.2310942978159969,-0.943865193973444,0.7707283610565738,-7.86367156044726,0.8867680396849298,0.2833122569976697,-5.538813949487474,0.4979853392676881,-0.7083204322591077,0.4631445948197873,0.9999999999998784,0.9999999999999004,0.9999999999989878,0.9999999999994382,0.9999999999984278,0.9999999999998856,0.9999999999999784,0.9999998257555914
0,0,2,0.0015238800551742,2.8603003299210167e-10,8.112337673082948e-05,4.2228098795504815e-10,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0,0.9995209446729204,0.999050041128138,0.9998992050748894,0.9999108915711762,0.999661025800157,0.9999359038708896,0.9998273145346463,0.9846295847094612,-0.5828546538784208,-0.6228909076321023,0.2125673147283515,208283,17145,0.9997580071886844,200781,3639,0.9998743137133764,25631,21992,0.9997432418399108,465889,191138,0.999905594107627,0.4125032416733444,-11.117809141605576,0.9839313954104842,-0.4165443177863501,-0.0609425253819044,-0.0090681788232181,-1.4855982437930728,0.634794450878821,0.6266726846935906,0.989280715015142,0.9999999999959016,0.9999999999877356,0.999999999996292,0.999999999993898,0.999999999993374,0.9999999999915032,0.9999999999994904,0.9999994645083112
0,1,0,0.0015699937939643,2.8103241955790276e-10,9.091130050364882e-05,4.5178516483446174e-10,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9405013072696272,0.6983772222711154,0.9955578513077108,0.9958512281243564,0.9992296099817448,0.9906815410506052,0.978596123413562,0.9933031981672392,-0.9839219090654988,-0.0092795338889564,-0.2587465061123417,208283,17145,0.9992073976669696,200781,3639,0.9964114128676658,25631,21992,0.7005047665602204,465889,191138,0.9912731347820464,0.5917081622653143,-180.84160933342127,0.1037364833749954,0.7786489062990359,0.905482500871977,0.2310263574236913,-35.96028584510916,0.1404084430539895,-75.59979606897285,0.0700993123575888,0.9999999999999968,0.9999999999999968,0.9999999999999865,0.9999999999999865,0.999999999999704,0.9999999999999972,0.9999999999999996,0.9999999302139836
0,1,1,0.0015699937939643,2.8103241955790276e-10,9.091130050364882e-05,4.5178516483446174e-10,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9927148134133692,0.9582262031987668,0.9997884432634851,0.9997424183288988,0.999497181099612,0.9985056724927982,0.9982686784609004,0.9874655481947628,-0.9174647428123116,-0.2200823456953003,-0.2181580220320363,208283,17145,0.9997551499614072,200781,3639,0.9984809541078804,25631,21992,0.9828700363498408,465889,191138,0.999672316193003,0.2310942978159969,-0.943865193973444,0.7707283610565738,-7.86367156044726,0.8867680396849298,0.2833122569976697,-5.538813949487474,0.4979853392676881,-0.7083204322591077,0.4631445948197873,0.9999999999998784,0.9999999999999004,0.9999999999989878,0.9999999999994382,0.9999999999984278,0.9999999999998856,0.9999999999999784,0.9999998257555914
0,1,2,0.0015699937939643,2.8103241955790276e-10,9.091130050364882e-05,4.5178516483446174e-10,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9995209446729204,0.999050041128138,0.9998992050748894,0.9999108915711762,0.999661025800157,0.9999359038708896,0.9998273145346463,0.9846295847094612,-0.5828546538784208,-0.6228909076321023,0.2125673147283515,208283,17145,0.9997580071886844,200781,3639,0.9998743137133764,25631,21992,0.9997432418399108,465889,191138,0.999905594107627,0.4125032416733444,-11.117809141605576,0.9839313954104842,-0.4165443177863501,-0.0609425253819044,-0.0090681788232181,-1.4855982437930728,0.634794450878821,0.6266726846935906,0.989280715015142,0.9999999999959016,0.9999999999877356,0.999999999996292,0.999999999993898,0.999999999993374,0.9999999999915032,0.9999999999994904,0.9999994645083112
0,3,0,0.0017403743695467,2.7717211859012986e-10,0.000113114278065,5.210750719797375e-10,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.9405013072696272,0.6983772222711154,0.9955578513077108,0.9958512281243564,0.9992296099817448,0.9906815410506052,0.978596123413562,0.9933031981672392,-0.9839219090654988,-0.0092795338889564,-0.2587465061123417,208283,17145,0.9992073976669696,200781,3639,0.9964114128676658,25631,21992,0.7005047665602204,465889,191138,0.9912731347820464,0.5917081622653143,-180.84160933342127,0.1037364833749954,0.7786489062990359,0.905482500871977,0.2310263574236913,-35.96028584510916,0.1404084430539895,-75.59979606897285,0.0700993123575888,0.9999999999999968,0.9999999999999968,0.9999999999999865,0.9999999999999865,0.999999999999704,0.9999999999999972,0.9999999999999996,0.9999999302139836
0,3,1,0.0017403743695467,2.7717211859012986e-10,0.000113114278065,5.210750719797375e-10,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.9927148134133692,0.9582262031987668,0.9997884432634851,0.9997424183288988,0.999497181099612,0.9985056724927982,0.9982686784609004,0.9874655481947628,-0.9174647428123116,-0.2200823456953003,-0.2181580220320363,208283,17145,0.9997551499614072,200781,3639,0.9984809541078804,25631,21992,0.9828700363498408,465889,191138,0.999672316193003,0.2310942978159969,-0.943865193973444,0.7707283610565738,-7.86367156044726,0.8867680396849298,0.2833122569976697,-5.538813949487474,0.4979853392676881,-0.7083204322591077,0.4631445948197873,0.9999999999998784,0.9999999999999004,0.9999999999989878,0.9999999999994382,0.9999999999984278,0.9999999999998856,0.9999999999999784,0.9999998257555914
0,3,2,0.0017403743695467,2.7717211859012986e-10,0.000113114278065,5.210750719797375e-10,0.0068359375,0.0,0.0,0.0,0.9931640625,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.9995209446729204,0.999050041128138,0.9998992050748894,0.9999108915711762,0.999661025800157,0.9999359038708896,0.9998273145346463,0.9846295847094612,-0.5828546538784208,-0.6228909076321023,0.2125673147283515,208283,17145,0.9997580071886844,200781,3639,0.9998743137133764,25631,21992,0.9997432418399108,465889,191138,0.999905594107627,0.4125032416733444,-11.117809141605576,0.9839313954104842,-0.4165443177863501,-0.0609425253819044,-0.0090681788232181,-1.4855982437930728,0.634794450878821,0.6266726846935906,0.989280715015142,0.9999999999959016,0.9999999999877356,0.999999999996292,0.999999999993898,0.999999999993374,0.9999999999915032,0.9999999999994904,0.9999994645083112
0,10,0,0.0028100181370973,2.8073665614414267e-10,0.0002526653115637,8.52632298098399e-10,0.005859375,0.0,0.0,0.0,0.9921875,0.001953125,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.9405013072696272,0.6983772222711154,0.9955578513077108,0.9958512281243564,0.9992296099817448,0.9906815410506052,0.978596123413562,0.9933031981672392,-0.9839219090654988,-0.0092795338889564,-0.2587465061123417,208283,17145,0.9992073976669696,200781,3639,0.9964114128676658,25631,21992,0.7005047665602204,465889,191138,0.9912731347820464,0.5917081622653143,-180.84160933342127,0.1037364833749954,0.7786489062990359,0.905482500871977,0.2310263574236913,-35.96028584510916,0.1404084430539895,-75.59979606897285,0.0700993123575888,0.9999999999999968,0.9999999999999968,0.9999999999999865,0.9999999999999865,0.999999999999704,0.9999999999999972,0.9999999999999996,0.9999999302139836
