family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,364.91082274311185,182.4479098260657,470.51313787050776,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,424.03865554896004,123.26081262474227,579.7577612052346,0.6666666666666666,-1.0,1.0,9,3,3
OV/FRA,0.3,457.80848293470285,64.98850077092926,724.983345774175,3.3333333333333335,0.0,4.0,9,3,3
OV/FRA,0.45,239.03199238931325,30.905831644374317,390.85480158965873,10.88888888888889,1.0,10.0,9,3,3
OV/FRA,0.6,97.60924709346929,10.702113022433338,198.63407456419256,23.555555555555557,4.0,33.0,9,3,3
OV/FRA,0.75,20.980146315158603,6.461671249314407,30.217007708650538,42.0,11.0,57.0,9,3,3
OV/FRA,0.9,9.48414349472108,3.7893782329702446,14.405611028063541,59.22222222222222,27.0,84.0,9,3,3
OV/FRA,1.05,5.447768836795367,3.1043077547379547,7.20028604118597,75.55555555555556,59.0,93.0,9,3,3
OV/FRA,1.2,3.8265199204845866,2.9650928738814604,4.426953909266991,86.22222222222223,80.0,97.0,9,3,3
OV/FRA,1.5,2.9337109263998267,2.703301063409057,3.1341062074030472,94.11111111111111,93.0,98.0,9,3,3
OV/FRA,1.75,2.593570180252317,2.45346648939526,2.793033413121718,95.22222222222223,94.0,98.0,9,3,3
OV/FRA,2.0,2.4062900842593438,2.2808033234197205,2.4924459203618348,97.0,97.0,98.0,9,3,3
Single feature,0.0,364.91082274311185,182.4479098260657,470.51313787050776,0.0,0.0,0.0,9,3,3
Single feature,0.15,229.01490727258783,147.52384022491228,273.2750953404472,1.7777777777777777,1.0,3.0,9,3,3
Single feature,0.3,187.66738399172996,137.6443358137935,223.27061142840617,3.0,2.0,4.0,9,3,3
Single feature,0.45,134.24386646095448,113.6848773713618,150.97382929808091,6.111111111111111,5.0,7.0,9,3,3
Single feature,0.6,77.41955949543303,63.967124085496394,91.05345227250325,13.0,11.0,16.0,9,3,3
Single feature,0.75,53.141408717331856,45.36611015557234,61.51636110289048,20.77777777777778,18.0,23.0,9,3,3
Single feature,0.9,36.86600630633224,24.308413933390977,41.70981359940286,31.333333333333332,22.0,36.0,9,3,3
Single feature,1.05,21.95822021715328,15.549403797436964,27.722743625595037,48.111111111111114,33.0,55.0,9,3,3
Single feature,1.2,14.3285722982151,11.521187803003192,17.845385369436507,63.111111111111114,50.0,69.0,9,3,3
Single feature,1.5,8.394171013203653,7.017306803061623,9.751022862655066,85.88888888888889,79.0,93.0,9,3,3
Single feature,1.75,6.541349485685103,6.423986529244359,7.11621589588606,94.44444444444444,90.0,98.0,9,3,3
Single feature,2.0,6.140461027349551,5.646279539814332,7.127521335180167,96.44444444444444,94.0,98.0,9,3,3
