train_seed,family,alpha,x_mean,y_mean,n_generation_seeds
0,OV/FRA,0.0,157.29497267714856,0,3
0,OV/FRA,0.15,205.06701733276253,1,3
0,OV/FRA,0.3,202.0613352033345,6,3
0,OV/FRA,0.45,12.314045558519108,22,3
0,OV/FRA,0.6,2.7275136071870527,43.666666666666664,3
0,OV/FRA,0.75,1.4600287202312747,74.33333333333333,3
0,OV/FRA,0.9,1.227983713671176,88,3
0,OV/FRA,1.05,1.1509639267774157,94.66666666666667,3
0,OV/FRA,1.2,1.1412805970166104,97,3
0,OV/FRA,1.5,1.0925155857974822,98,3
0,OV/FRA,1.75,1.075385193773028,97.33333333333333,3
0,OV/FRA,2.0,1.0429745806284747,98.33333333333333,3
0,Single feature,0.0,157.29497267714856,0,3
0,Single feature,0.15,134.0627847922105,1.6666666666666667,3
0,Single feature,0.3,132.60708227203494,2.6666666666666665,3
0,Single feature,0.45,59.6389918730718,6.666666666666667,3
0,Single feature,0.6,36.59970493666492,13,3
0,Single feature,0.75,18.051138497196607,21,3
0,Single feature,0.9,10.868872106779746,32.333333333333336,3
0,Single feature,1.05,4.286895782186921,53.333333333333336,3
0,Single feature,1.2,2.0652257328160135,68.66666666666667,3
0,Single feature,1.5,0.8141053107772954,91.66666666666667,3
0,Single feature,1.75,0.5663311489403366,97.33333333333333,3
0,Single feature,2.0,0.4096763421103711,98,3
1,OV/FRA,0.0,157.29497267714856,0,3
1,OV/FRA,0.15,205.63856611264413,1,3
1,OV/FRA,0.3,132.08253138661152,3,3
1,OV/FRA,0.45,57.56311517443274,7.666666666666667,3
1,OV/FRA,0.6,15.907138502534803,15.333333333333334,3
1,OV/FRA,0.75,6.129676782740363,24.666666666666668,3
1,OV/FRA,0.9,2.942077886464888,40,3
1,OV/FRA,1.05,2.1258762972436136,52.333333333333336,3
1,OV/FRA,1.2,1.6669533962959175,71.66666666666667,3
1,OV/FRA,1.5,1.2746283417149458,86,3
1,OV/FRA,1.75,1.1885634582046065,90,3
1,OV/FRA,2.0,1.1036902909528254,94.33333333333333,3
1,Single feature,0.0,157.29497267714856,0,3
1,Single feature,0.15,134.0627847922105,1.6666666666666667,3
1,Single feature,0.3,132.60708227203494,2.6666666666666665,3
1,Single feature,0.45,67.24005973959544,5,3
1,Single feature,0.6,56.830134667054104,9.333333333333334,3
1,Single feature,0.75,29.309451720553717,15.333333333333334,3
1,Single feature,0.9,18.051138497196607,21.333333333333332,3
1,Single feature,1.05,12.29253085904256,32,3
1,Single feature,1.2,4.843104491340807,49.333333333333336,3
1,Single feature,1.5,1.9014207981758868,73,3
1,Single feature,1.75,0.9161172968307083,88.33333333333333,3
1,Single feature,2.0,0.7097486087730511,93.33333333333333,3
2,OV/FRA,0.0,157.29497267714856,0,3
2,OV/FRA,0.15,210.02197946652748,0,3
2,OV/FRA,0.3,73.95147990742072,1,3
2,OV/FRA,0.45,77.9857036025301,3,3
2,OV/FRA,0.6,42.97011483722712,11.666666666666666,3
2,OV/FRA,0.75,7.616293583520412,27,3
2,OV/FRA,0.9,3.172155152559894,49.666666666666664,3
2,OV/FRA,1.05,1.4399665542887576,79.66666666666667,3
2,OV/FRA,1.2,1.2467463143086943,90,3
2,OV/FRA,1.5,1.047558288155542,98.33333333333333,3
2,OV/FRA,1.75,0.9909226769861303,98.33333333333333,3
2,OV/FRA,2.0,0.9768909397794864,98.33333333333333,3
2,Single feature,0.0,157.29497267714856,0,3
2,Single feature,0.15,132.60708227203494,2,3
2,Single feature,0.3,101.58988974902806,3.6666666666666665,3
2,Single feature,0.45,59.6389918730718,6.666666666666667,3
2,Single feature,0.6,22.344061909382283,16.666666666666668,3
2,Single feature,0.75,14.629340643824541,26,3
2,Single feature,0.9,6.728782637428845,40.333333333333336,3
2,Single feature,1.05,2.7561504782850856,59,3
2,Single feature,1.2,1.5697663356814358,71.33333333333333,3
2,Single feature,1.5,0.7047772113906249,93,3
2,Single feature,1.75,0.48609038387852627,97.66666666666667,3
2,Single feature,2.0,0.3523685721979817,98,3
