train_seed,family,alpha,x_mean,y_mean,n_generation_seeds
0,OV/FRA,0.0,2.1718478623476547,0,3
0,OV/FRA,0.15,2.1544461312551624,2,3
0,OV/FRA,0.3,2.1389057926239365,3.3333333333333335,3
0,OV/FRA,0.45,2.1160672270492746,6.333333333333333,3
0,OV/FRA,0.6,2.0203259097774926,15,3
0,OV/FRA,0.75,1.8566657669866506,31,3
0,OV/FRA,0.9,1.5880499228443257,53.333333333333336,3
0,OV/FRA,1.05,1.3002207933052914,73,3
0,OV/FRA,1.2,1.068207404395515,88.33333333333333,3
0,OV/FRA,1.5,0.8491286240407998,97.33333333333333,3
0,OV/FRA,1.75,0.812727083791399,98.33333333333333,3
0,OV/FRA,2.0,0.8139075005344115,98.33333333333333,3
0,Single feature,0.0,2.1718478623476547,0,3
0,Single feature,0.15,2.155966186435145,1.6666666666666667,3
0,Single feature,0.3,2.133047859019692,4.333333333333333,3
0,Single feature,0.45,2.090490052002421,9,3
0,Single feature,0.6,1.9498950876318075,20.666666666666668,3
0,Single feature,0.75,1.7225081693364621,40.666666666666664,3
0,Single feature,0.9,1.4688099591000876,60.666666666666664,3
0,Single feature,1.05,1.2318242910913115,81,3
0,Single feature,1.2,1.0545921068229869,93.66666666666667,3
0,Single feature,1.5,0.8946365037765418,98.33333333333333,3
0,Single feature,1.75,0.8471991534315924,98.33333333333333,3
0,Single feature,2.0,0.8091082844147854,98.33333333333333,3
1,OV/FRA,0.0,2.1718478623476547,0,3
1,OV/FRA,0.15,2.1584161949505662,1.6666666666666667,3
1,OV/FRA,0.3,2.126052717541847,4,3
1,OV/FRA,0.45,2.001487782312519,18.333333333333332,3
1,OV/FRA,0.6,1.645807732008033,45,3
1,OV/FRA,0.75,1.2360723409929284,76,3
1,OV/FRA,0.9,0.8832446776780786,94.66666666666667,3
1,OV/FRA,1.05,0.772988173305732,97.66666666666667,3
1,OV/FRA,1.2,0.7250140250488323,98,3
1,OV/FRA,1.5,0.7383315672591282,98.33333333333333,3
1,OV/FRA,1.75,0.7650767927486384,98.33333333333333,3
1,OV/FRA,2.0,0.7666245222990431,98.33333333333333,3
1,Single feature,0.0,2.1718478623476547,0,3
1,Single feature,0.15,2.153120973542613,2.3333333333333335,3
1,Single feature,0.3,2.109081896156096,5.666666666666667,3
1,Single feature,0.45,2.049580432692523,12.666666666666666,3
1,Single feature,0.6,1.9058961606772267,27.666666666666668,3
1,Single feature,0.75,1.6324405456060822,52.333333333333336,3
1,Single feature,0.9,1.3354607627324864,77,3
1,Single feature,1.05,1.0662232917009429,93,3
1,Single feature,1.2,0.9181899640249316,98,3
1,Single feature,1.5,0.7634510567040411,98.33333333333333,3
1,Single feature,1.75,0.6942843895354236,98.33333333333333,3
1,Single feature,2.0,0.6571017838893064,98.33333333333333,3
2,OV/FRA,0.0,2.1718478623476547,0,3
2,OV/FRA,0.15,2.170593153925079,0,3
2,OV/FRA,0.3,2.1596029493640505,1,3
2,OV/FRA,0.45,2.135812339336963,4.333333333333333,3
2,OV/FRA,0.6,2.075915429773354,12.666666666666666,3
2,OV/FRA,0.75,1.9856242813020437,24.666666666666668,3
2,OV/FRA,0.9,1.8514555457052262,41,3
2,OV/FRA,1.05,1.731939494912061,58,3
2,OV/FRA,1.2,1.5798135112109093,70,3
2,OV/FRA,1.5,1.3126044810773898,87,3
2,OV/FRA,1.75,1.101316753864383,94,3
2,OV/FRA,2.0,0.905228749329348,97.66666666666667,3
2,Single feature,0.0,2.1718478623476547,0,3
2,Single feature,0.15,2.159303843251437,1.3333333333333333,3
2,Single feature,0.3,2.1374374231380995,3.3333333333333335,3
2,Single feature,0.45,2.108981288974027,6,3
2,Single feature,0.6,2.063166274233257,12.333333333333334,3
2,Single feature,0.75,1.92687461127278,23.666666666666668,3
2,Single feature,0.9,1.8323465066751432,33,3
2,Single feature,1.05,1.6024699841656327,52.666666666666664,3
2,Single feature,1.2,1.415748950426727,67.33333333333333,3
2,Single feature,1.5,1.1036631385152837,89.66666666666667,3
2,Single feature,1.75,0.9467160970750539,97.66666666666667,3
2,Single feature,2.0,0.8699088413479837,98,3
